movie_id,director_id
2,6762
3,984
6,19390
10,2364
12,34983
14,15825
17,37342
19,15764
21,27015
23,6775
24,6775
25,6775
26,13511
27,6775
28,33224
29,27529
30,5832
31,15689
38,9127
39,3874
41,6762
43,32636
44,4882
45,17080
46,26953
47,24502
48,18931
49,18507
51,10329
52,26967
53,15626
55,22472
63,9127
67,16798
68,6762
69,6775
71,30987
74,6775
75,38562
77,14850
78,4578
79,2406
80,15210
81,9127
82,8630
86,18357
87,27319
88,35062
95,27127
96,15764
97,18509
98,10392
103,12350
104,12258
105,37018
110,29242
111,7672
113,33676
115,25439
116,26641
117,30628
119,29057
120,15941
125,35062
127,32636
128,8360
129,8466
130,25139
131,33808
132,30987
134,16383
136,15764
137,13511
139,33224
140,9306
141,36705
142,39271
143,35062
144,11710
147,12589
148,13126
149,39271
150,2376
151,16597
152,35062
155,15689
161,8471
163,35804
164,15689
168,32671
170,2749
172,39271
173,22524
175,15689
182,28221
183,13511
185,32659
186,10232
188,9127
189,35597
191,5676
193,30987
194,29057
195,973
197,35062
198,39170
199,4698
200,8647
202,3867
203,31250
204,9780
206,15689
207,36845
209,6762
210,15579
212,25139
213,36427
215,37018
220,31434
221,15825
222,34835
224,32079
225,31434
230,33931
231,24708
232,12579
234,17660
235,7182
237,2177
238,30542
241,15198
242,32671
243,15764
245,32265
247,34783
249,28709
251,39271
253,2749
254,30987
255,5731
256,18661
257,36362
258,25139
259,32079
260,18443
262,18509
263,34045
264,5759
265,8630
266,39271
268,29786
269,32023
270,10164
273,39271
240,33566
274,32399
122,15210
276,14959
277,23276
279,28937
280,18024
281,33808
282,15104
284,32434
286,17765
288,19171
289,31434
290,35062
293,39271
295,12909
296,35597
297,15939
298,12284
299,7055
302,37148
303,27396
304,18170
305,5832
306,30987
307,6762
309,25139
310,31759
312,28709
314,24082
315,32191
317,6221
222,18623
320,7783
322,8630
323,22524
324,9263
325,31759
326,8360
328,30987
329,15825
331,33676
332,13511
333,6286
334,10164
336,17765
338,20745
339,28947
340,24996
341,16383
342,30987
343,18017
344,10164
345,15764
347,11710
348,29057
349,25139
350,26941
351,1238
352,24708
353,25139
354,5832
355,20533
356,25139
357,23063
358,3673
359,29786
364,15825
365,8907
366,38226
367,31061
368,12258
370,4578
372,28443
373,25139
374,17958
375,12389
377,18120
379,7182
380,24085
381,18170
382,32671
384,24085
386,12579
387,18179
388,38200
390,21440
394,15210
396,5208
247,1195
397,8907
398,13511
399,21837
401,15210
403,8207
404,18509
34,12394
406,12589
409,32265
410,9780
412,15579
414,19708
417,7403
418,30316
419,24708
420,20201
422,32671
423,35062
424,15939
426,15210
427,15834
428,35062
429,4834
430,2749
431,34783
432,22524
433,14959
435,4605
436,25439
438,32845
439,30743
442,13126
443,8644
444,31859
446,33782
447,363
451,38359
452,8907
453,15825
455,11710
456,15689
458,23325
459,18637
460,134
461,17014
462,9780
463,12394
464,19171
465,19708
468,6862
469,344
470,12350
408,25439
474,16069
475,31759
476,36522
478,2749
480,33676
483,6569
484,8466
486,9780
487,15595
488,32659
489,5208
490,36362
491,9935
492,31759
493,29508
494,19578
495,25867
496,19708
497,403
498,31859
499,25139
502,19305
503,36427
504,25439
506,11710
507,1449
508,18931
510,13511
511,14246
513,31097
514,16303
515,363
441,4503
517,39271
518,12579
519,36717
521,19708
523,16715
524,12390
525,24708
526,26967
528,25139
529,135
530,17868
532,22472
533,26967
534,16069
535,30823
536,26161
538,33282
540,29191
541,5208
542,692
544,13126
545,2749
546,22524
547,39420
548,10288
549,2081
554,31759
556,24708
557,23325
558,2423
559,9899
560,12312
561,32207
563,36997
564,33113
565,31859
566,29242
567,13415
568,11710
571,6381
573,16383
574,28540
576,26967
577,10230
578,31759
579,22524
580,15188
581,37243
582,16715
583,15203
584,37883
587,28709
588,6695
589,32168
590,34760
591,24708
592,24085
593,34193
595,31211
596,33808
600,8291
601,25974
602,11710
604,15939
605,29433
606,24515
608,34608
609,25139
611,4907
612,28562
615,35898
617,38704
618,2749
619,16383
620,12259
621,18931
623,36521
624,2397
625,39271
626,18357
628,36890
632,28562
633,7883
634,5352
635,30743
636,32079
637,28562
638,34157
639,13979
640,27830
643,28443
644,4578
645,8471
647,18443
648,13511
649,32659
650,34157
652,28712
653,36457
654,13511
655,12579
656,35062
657,11105
659,29872
660,16601
661,5782
662,15198
663,27396
664,29203
343,13799
666,30542
667,28379
668,38527
669,17631
670,21854
671,4815
606,19085
672,13867
674,29610
675,17928
676,8498
677,846
678,36362
679,31759
680,17928
681,20745
682,3305
683,29786
684,30619
685,30628
686,18285
687,31859
688,29057
689,21304
691,8829
692,28712
693,12389
694,16640
696,20413
697,27319
698,9935
699,39271
700,38704
701,8598
702,8720
703,2749
705,1238
706,30619
707,18543
708,20745
709,31054
710,22472
712,7372
713,10164
714,21300
716,15210
719,32265
721,24083
723,18507
724,4834
725,28947
726,8830
727,34783
728,38358
730,2220
733,28360
735,3673
736,34443
738,11710
740,3230
741,39271
742,12258
743,15825
744,11268
298,28540
746,11268
